Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
64, CIVILIZATION_ZANZIBAR, 1, 3, 8, 5, 5, 0, 0, 0, 8, 5, 209, 0, 5, 4, 10, 0, 6, 7, 8, 12, 1, 2, 4, 0
64, CIVILIZATION_JERUSALEM, 1, 5, 8, 5, 6, 0, 0, 0, 7, 0, 207, 0, 5, 4, 4, 0, 4, 12, 7, 12, 0, 5, 0, 0
64, CIVILIZATION_VALLETTA, 1, 6, 10, 6, 4, 0, 0, 0, 8, 6, 102, 7, 6, 5, 9, 2, 4, 21, 8, 13, 0, 5, 4, 0
64, CIVILIZATION_PRESLAV, 1, 7, 10, 4, 5, 0, 0, 0, 7, 5, 151, 0, 6, 2, 5, 0, 1, 22, 7, 11, 0, 7, 0, 0
64, CIVILIZATION_LISBON, 1, 4, 7, 5, 7, 0, 0, 0, 7, 4, 220, 0, 4, 4, 5, 0, 5, 11, 7, 13, 0, 3, 0, 0
64, CIVILIZATION_CARTHAGE, 1, 6, 8, 4, 4, 0, 0, 0, 7, 3, 275, 0, 5, 4, 4, 0, 2, 15, 7, 13, 0, 5, 0, 0
64, CIVILIZATION_KABUL, 1, 4, 8, 5, 7, 0, 0, 0, 7, 3, 88, 0, 4, 4, 5, 0, 4, 10, 7, 13, 0, 3, 0, 0
64, CIVILIZATION_MOHENJO_DARO, 1, 7, 8, 6, 4, 0, 0, 0, 7, 3, 73, 0, 6, 2, 9, 0, 2, 19, 7, 11, 0, 7, 5, 0
64, CIVILIZATION_AMSTERDAM, 1, 7, 7, 5, 4, 0, 0, 0, 7, 3, 319, 0, 6, 4, 7, 0, 2, 19, 7, 13, 1, 7, 0, 0
64, CIVILIZATION_PALENQUE, 1, 7, 10, 6, 3, 0, 0, 0, 8, 5, 131, 1, 9, 5, 7, 1, 4, 18, 8, 13, 1, 7, 0, 0
